name,price,url,image_url
"Burt's Bees Toothpaste Complete Multi Care, 4.7 oz, Pack of 6",,No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Complete-Multi-Care-4-7-oz-Pack-of-6_7d3bf373-0d80-4f69-9a36-66fbf61b0e40.f644caf2dc06126f52c746c393036e36.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
Burt's Bees Kids Fluoride-Free Toothpaste - Bubble Bee Bubblegum - 4.7 oz- Pack of 2,,No URL found,https://i5.walmartimages.com/seo/Pack-of-2-Burt-s-Bees-Kids-Fluoride-Free-Toothpaste-Bubble-Bee-Bubblegum-4-7-oz-Package-May-Vary_1c267f5a-1164-4e8a-8888-5ab59582726b.f215635da164f1bcafa2fa594712f5ef.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt,S Bees Extra White Toothpaste, Fluoride Toothpaste, Natural Flavor, Mountain Mint, 4.7 Oz, Pack Of 3","$2550
current price $25.50",No URL found,https://i5.walmartimages.com/seo/Burt-S-Bees-Extra-White-Toothpaste-Fluoride-Toothpaste-Natural-Flavor-Mountain-Mint-4-7-Oz-Pack-Of-3_407e1c64-3b1b-4f9c-8e99-826c93c3e23b.0bcdf4989047daf509df07796c82f20e.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"(3 Pack) Burt's Bees Toothpaste, Natural Flavor, Charcoal with Fluoride Toothpaste, Mountain Mint, 4.7 oz",,No URL found,https://i5.walmartimages.com/seo/3-Pack-Burt-s-Bees-Toothpaste-Natural-Flavor-Charcoal-with-Fluoride-Toothpaste-Mountain-Mint-4-7-oz_236fabf2-1d54-458e-adb2-a6a286aa8a73.d7e2039e95134553297f48f1a6f87771.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burts Bees Charcoal Fluoride Toothpaste, Peppermint, 4.7 Oz, 2 Pack","$1845
current price $18.45",No URL found,https://i5.walmartimages.com/seo/Burts-Bees-Charcoal-Fluoride-Toothpaste-Peppermint-4-7-Oz-2-Pack_9beee897-80e7-40ed-add1-a97f6ff16bc1.7ba5695f1e8c90577a99629834396a69.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
Burt's Bees Toothpaste Zen Peppermint 4.7 oz (Pack of 6),"$4147
current price $41.47",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Zen-Peppermint-4-7-oz-Pack-of-6_ef905017-c192-4ac9-bdd4-cb9a56d0a812.e03d53f8eba27a5f22ac68d6c87c2498.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burts Bees Zen Peppermint Charcoal Whitening Fluoride Free Toothpaste, 4.7 Oz, 2 Pack","$1401
current price $14.01",No URL found,https://i5.walmartimages.com/seo/Burts-Bees-Zen-Peppermint-Charcoal-Whitening-Fluoride-Free-Toothpaste-4-7-Oz-2-Pack_138bd1a5-8e87-45e5-9aee-483e687034a0.13087409cdb4c64fb8235089eb02cf63.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt,S Bees Toothpaste, Natural Flavor, Charcoal Fluoride-Free Toothpaste, Zen Peppermint, 4.7 Oz, Pack Of 3","$2636
current price $26.36",No URL found,https://i5.walmartimages.com/seo/Burt-S-Bees-Toothpaste-Natural-Flavor-Charcoal-Fluoride-Free-Toothpaste-Zen-Peppermint-4-7-Oz-Pack-Of-3_4500ba74-04a8-4a3d-9148-eb98fcc90316.a1ec438cffaca167cbccbbc3a082c54c.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
Burts Bees Toothpaste Charcoal Plus Whitening 4.7oz (Pack of 3),"$2415
current price $24.15",No URL found,https://i5.walmartimages.com/seo/Burts-Bees-Toothpaste-Charcoal-Plus-Whitening-4-7oz-Pack-of-3_b40f8b54-98f0-4cc3-be9d-42c489576c61.a4b1ec4eb4cbe5301ddf6e74687fd5a3.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burts Bees Zen Peppermint Charcoal Whitening Fluoride Free Toothpaste, 4.7 Oz, 3 Pack","$2229
current price $22.29",No URL found,https://i5.walmartimages.com/seo/Burts-Bees-Zen-Peppermint-Charcoal-Whitening-Fluoride-Free-Toothpaste-4-7-Oz-3-Pack_138bd1a5-8e87-45e5-9aee-483e687034a0.13087409cdb4c64fb8235089eb02cf63.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
Burt's Bees Toothpaste Zen Peppermint 4.7 oz (Pack of 10),"$6144
current price $61.44",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Zen-Peppermint-4-7-oz-Pack-of-10_ef905017-c192-4ac9-bdd4-cb9a56d0a812.e03d53f8eba27a5f22ac68d6c87c2498.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burts Bees Zen Peppermint Charcoal Whitening Fluoride Free Toothpaste, 4.7 Oz, 6 Pack","$3745
current price $37.45",No URL found,https://i5.walmartimages.com/seo/Burts-Bees-Zen-Peppermint-Charcoal-Whitening-Fluoride-Free-Toothpaste-4-7-Oz-6-Pack_138bd1a5-8e87-45e5-9aee-483e687034a0.13087409cdb4c64fb8235089eb02cf63.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Charcoal, Zen Peppermint, 4.7oz (Pack of 16)","$9055
current price $90.55",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Charcoal-Zen-Peppermint-4-7oz-Pack-of-16_f65cef76-7f0e-4266-8f78-6053f07ec7f4.9601f4b34844e61e9e57342edf3a00ed.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Charcoal, Zen Peppermint, 4.7oz (Pack of 48)","$24409
current price $244.09",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Charcoal-Zen-Peppermint-4-7oz-Pack-of-48_f65cef76-7f0e-4266-8f78-6053f07ec7f4.9601f4b34844e61e9e57342edf3a00ed.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Charcoal, Zen Peppermint, 4.7oz (Pack of 32)","$16806
current price $168.06",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Charcoal-Zen-Peppermint-4-7oz-Pack-of-32_f65cef76-7f0e-4266-8f78-6053f07ec7f4.9601f4b34844e61e9e57342edf3a00ed.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Charcoal, Zen Peppermint, 4.7oz (Pack of 20)","$10880
current price $108.80",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Charcoal-Zen-Peppermint-4-7oz-Pack-of-20_f65cef76-7f0e-4266-8f78-6053f07ec7f4.9601f4b34844e61e9e57342edf3a00ed.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Charcoal, Zen Peppermint, 4.7oz (Pack of 10)","$6144
current price $61.44",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Charcoal-Zen-Peppermint-4-7oz-Pack-of-10_f65cef76-7f0e-4266-8f78-6053f07ec7f4.9601f4b34844e61e9e57342edf3a00ed.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Charcoal, Zen Peppermint, 4.7oz (Pack of 24)","$12995
current price $129.95",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Charcoal-Zen-Peppermint-4-7oz-Pack-of-24_f65cef76-7f0e-4266-8f78-6053f07ec7f4.9601f4b34844e61e9e57342edf3a00ed.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Charcoal, Zen Peppermint, 4.7oz (Pack of 18)","$9917
current price $99.17",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Charcoal-Zen-Peppermint-4-7oz-Pack-of-18_f65cef76-7f0e-4266-8f78-6053f07ec7f4.9601f4b34844e61e9e57342edf3a00ed.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt's Bees Toothpaste, Charcoal, Zen Peppermint, 4.7oz (Pack of 14)","$8104
current price $81.04",No URL found,https://i5.walmartimages.com/seo/Burt-s-Bees-Toothpaste-Charcoal-Zen-Peppermint-4-7oz-Pack-of-14_f65cef76-7f0e-4266-8f78-6053f07ec7f4.9601f4b34844e61e9e57342edf3a00ed.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
200 Pack Natural Toothpaste Tablet Bits - Chewable Mouthwash Whitening Burts Bees Bite Tablets for Teeth SLS & Fluoride Free Eco & Travel Friendly with Zero Waste Packaging - Mint & (Watermelon),,No URL found,https://i5.walmartimages.com/seo/200-Pack-Natural-Toothpaste-Tablet-Bits-Chewable-Mouthwash-Whitening-Burts-Bees-Bite-Tablets-Teeth-SLS-Fluoride-Free-Eco-Travel-Friendly-Zero-Waste-P_15cd8c6e-85a4-4e13-9e61-52f3b6690ea9.86060df31cacc27569bdbccd6c504fa5.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
"Burt,S Bees For Pets Tartar Control Toothpaste For Dogs With Grapefruit Seed Extract | 99.5 % Natural Dog Toothpaste For Tartar Control In Mixed Berry Flavor | Tartar Control Dog Toothpaste, 2.5 Oz","$2091
current price $20.91
+$4.99 shipping",No URL found,https://i5.walmartimages.com/seo/Burt-S-Bees-Pets-Tartar-Control-Toothpaste-Dogs-Grapefruit-Seed-Extract-99-5-Natural-Dog-Toothpaste-Tartar-Control-Mixed-Berry-Flavor-Tartar-Control_6e0170d0-c061-458d-81a0-cb008acfdb09.c573f8e2065131b026f0103f91aaee51.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF
